wbs_code,parent_wbs_code,activity_name,work_package,discipline,contractual_start,contractual_finish,current_planned_start,current_planned_finish,duration_days,milestone,unit,total_required_quantity,progress_weight,current_reported_completion_pct,responsible_party,schedule_version,schedule_status,source_document
1.4.2.3,1.4.2,PV Strings Cold Tests,Electrical Works Cold Tests,Commissioning,2026-10-18,2026-11-11,2026-10-18,2026-11-11,25,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.3.1,1.4.2.3,"Polarity, VoC, IsC, IV-Curve Tests",Electrical Works Cold Tests,Commissioning,2026-10-18,2026-11-01,2026-10-18,2026-11-01,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.3.2,1.4.2.3,Combiner Boxes and LV DC Cables Tests,Electrical Works Cold Tests,Commissioning,2026-11-02,2026-11-11,2026-11-02,2026-11-11,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.4,1.4.2,Inverter Works Cold Tests,Electrical Works Cold Tests,Commissioning,2026-12-23,2027-01-01,2026-12-23,2027-01-01,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.4.1,1.4.2.4,Inverter Settings and Cold Commissioning,Electrical Works Cold Tests,Commissioning,2026-12-23,2027-01-01,2026-12-23,2027-01-01,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.4.2,1.4.2.4,PPC/Communication/Meteo St. Settings and Cold Commissioning,Electrical Works Cold Tests,Commissioning,2026-12-28,2027-01-01,2026-12-28,2027-01-01,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.5,1.4.2,AUX and CCTV Works Cold Tests,Electrical Works Cold Tests,Commissioning,2026-11-09,2026-11-13,2026-11-09,2026-11-13,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.5.1,1.4.2.5,AUX Settings and Tests,Electrical Works Cold Tests,Commissioning,2026-11-09,2026-11-13,2026-11-09,2026-11-13,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.5.2,1.4.2.5,CCTV Setting and Cold Commissioing,Electrical Works Cold Tests,Commissioning,2026-11-09,2026-11-13,2026-11-09,2026-11-13,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.6,1.4.2,Earthing Test,Electrical Works Cold Tests,Commissioning,2026-11-14,2026-11-14,2026-11-14,2026-11-14,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.2.6.1,1.4.2.6,Earthing Measurement and Tests,Electrical Works Cold Tests,Commissioning,2026-11-14,2026-11-14,2026-11-14,2026-11-14,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.3,1.4,Mechanical Completion,Mechanical Completion,Commissioning,2027-01-02,2027-01-21,2027-01-02,2027-01-21,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.3.1,1.4.3,Tests Resuslts Collections and Submission,Mechanical Completion,Commissioning,2027-01-02,2027-01-06,2027-01-02,2027-01-06,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.3.2,1.4.3,Tests Results Check,Mechanical Completion,Commissioning,2027-01-07,2027-01-11,2027-01-07,2027-01-11,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.3.3,1.4.3,PV Plant Inspection,Mechanical Completion,Commissioning,2027-01-12,2027-01-16,2027-01-12,2027-01-16,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.3.4,1.4.3,PV Plant Punch List Report,Mechanical Completion,Commissioning,2027-01-17,2027-01-21,2027-01-17,2027-01-21,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.3.5,1.4.3,PV PLANT MECHANICAL COMPLETION,Mechanical Completion,Commissioning,2027-01-21,2027-01-21,2027-01-21,2027-01-21,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.4,1.4,Communication to DSO,Communication to DSO,Commissioning,2027-01-04,2027-01-04,2027-01-04,2027-01-04,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.4.4.1,1.4.4,Communication to DSO Plant ready for Connection,Communication to DSO,Commissioning,2027-01-04,2027-01-04,2027-01-04,2027-01-04,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5,1,PV PLANT ENERGIZATION & HOT COMMISSIONING,PV PLANT ENERGIZATION & HOT COMMISSIONING,Commissioning,2027-01-05,2027-01-14,2027-01-05,2027-01-14,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.1,1.5,PV Plant Energization,PV Plant Energization,Commissioning,2027-01-05,2027-01-05,2027-01-05,2027-01-05,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.1.1,1.5.1,PV PLANT ENERGIZATION,PV Plant Energization,Commissioning,2027-01-05,2027-01-05,2027-01-05,2027-01-05,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2,1.5,PV Plant Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-14,2027-01-05,2027-01-14,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.1,1.5.2,MV Network Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-05,2027-01-05,2027-01-05,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.1.1,1.5.2.1,MV Network Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-05,2027-01-05,2027-01-05,1,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.2,1.5.2,Inverters Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-12,2027-01-05,2027-01-12,8,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.2.1,1.5.2.2,Inverters and CBs Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-12,2027-01-05,2027-01-12,8,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.2.2,1.5.2.2,CCI/Communication/Meteo St. Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-09,2027-01-05,2027-01-09,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.3,1.5.2,AUX and CCTV Hot Commissionoing,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-14,2027-01-05,2027-01-14,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.3.1,1.5.2.3,AUX Systems Hot commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-05,2027-01-09,2027-01-05,2027-01-09,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.5.2.3.2,1.5.2.3,CCTV Hot Commissioning,PV Plant Hot Commissioning,Commissioning,2027-01-10,2027-01-14,2027-01-10,2027-01-14,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6,1,PV PLANT PROVISIONAL ACCEPTANCE CERTIFICATE,PV PLANT PROVISIONAL ACCEPTANCE CERTIFICATE,Other,2026-12-24,2027-01-27,2026-12-24,2027-01-27,35,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.1,1.6,Final Documentation,Final Documentation,Other,2026-12-24,2027-01-17,2026-12-24,2027-01-17,25,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.1.1,1.6.1,Final Documentation preparation and submission,Final Documentation,Other,2026-12-24,2027-01-13,2026-12-24,2027-01-13,20,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.1.2,1.6.1,Final Documentation Verification,Final Documentation,Other,2027-01-13,2027-01-17,2027-01-13,2027-01-17,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.2,1.6,Provisional Acceptance Test,Provisional Acceptance Test,Other,2027-01-13,2027-01-22,2027-01-13,2027-01-22,10,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.2.1,1.6.2,Provisional Acceptance Test Performance,Provisional Acceptance Test,Other,2027-01-13,2027-01-17,2027-01-13,2027-01-17,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.2.2,1.6.2,Provisional Acceptance PV Plant Inspection,Provisional Acceptance Test,Other,2027-01-17,2027-01-17,2027-01-17,2027-01-17,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.2.3,1.6.2,Provisional Acceptance Test Data Verification,Provisional Acceptance Test,Other,2027-01-18,2027-01-22,2027-01-18,2027-01-22,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.3,1.6,Provisional Acceptance Certificate,Provisional Acceptance Certificate,Other,2027-01-18,2027-01-22,2027-01-18,2027-01-22,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.3.1,1.6.3,Provisional Acceptance Punch List,Provisional Acceptance Certificate,Other,2027-01-18,2027-01-22,2027-01-18,2027-01-22,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.3.2,1.6.3,PV PLANT PROVISIONAL ACCEPTANCE CERTIFICATE,Provisional Acceptance Certificate,Other,2027-01-22,2027-01-22,2027-01-22,2027-01-22,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.4,1.6,Handover to O&M and Asset Management,Handover to O&M and Asset Management,Other,2027-01-23,2027-01-27,2027-01-23,2027-01-27,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.6.4.1,1.6.4,PV Plant Handover to O&M and AM,Handover to O&M and Asset Management,Other,2027-01-23,2027-01-27,2027-01-23,2027-01-27,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
