document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
,Metering VTs Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering VTs Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering VTs Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering VTs Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering VTs Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Metering VTs Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Serial Numbers,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Protective Devices (Datasheet and Schematics) - DGPT,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Protective Devices (Datasheet and Schematics) - Temperature Sensors,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Main Transformer Protective Devices (Datasheet and Schematics) - Additional Devices,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Serial Numbers,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Protective Devices (Datasheet and Schematics) - DGPT,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Protective Devices (Datasheet and Schematics) - Temperature Sensors,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Auxiliary Transformer Protective Devices (Datasheet and Schematics) - Additional Devices,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Switchgear Serial Numbers,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Circuit breaker Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Circuit breaker Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Circuit breaker Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Circuit breaker Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Circuit breaker Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Circuit breaker Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation LV Battery and Charger Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation LV Battery and Charger Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation LV Battery and Charger Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation LV Battery and Charger Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation LV Battery and Charger Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Disconnectors Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Disconnectors Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Disconnectors Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Disconnectors Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Disconnectors Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Disconnectors Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Overcurrent Relays Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Overcurrent Relays Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Overcurrent Relays Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Overcurrent Relays Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Overcurrent Relays Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Overcurrent Relays Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation SPI Relay Datasheet,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation SPI Relay Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation SPI Relay Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation SPI Relay Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Datasheet,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Warranty Directory - Warranty,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Warranty Directory - Warranty assignment,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Warranty Directory - Delivery Notes,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Warranty Directory - Proof of purchase,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Warranty Directory - Warranty Claims,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Warranty Directory - Replacements,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Power plant Controller Schematics,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Substation Basement Sealants Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional Schematics Protection Settings,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional Schematics Enclosures,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional Schematics Switchboard,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional Schematics Protection Relays,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional Schematics Auto reclose Diagrams,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional DC components Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional DC components Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional DC components Warranty and Warranty Assignment,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional DC components Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional AC Components Datasheets,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional AC Components Certificates,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional AC Components Warranty and Warranty Assignment,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Additional AC Components Manuals,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Studies Earthing Study,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Electrical Studies Protection Study/Settings,Engineering,,,,NOT STARTED,,C,YES,7. Electrical,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Manuals Manuals,Procurement,,,,NOT STARTED,,C,YES,8. Modules,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Serial numbers Serial numbers,Procurement,,,,NOT STARTED,,C,YES,8. Modules,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Module Testing IV Curve results,Procurement,,,,NOT STARTED,,C,YES,8. Modules,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Inverter General Datasheets,Procurement,,,,NOT STARTED,,C,YES,10. Power Station,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Inverter General Certificates,Procurement,,,,NOT STARTED,,C,YES,10. Power Station,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Inverter General Manuals,Procurement,,,,NOT STARTED,,C,YES,10. Power Station,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Inverter General Serial numbers,Procurement,,,,NOT STARTED,,C,YES,10. Power Station,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Inverter Warranty Directory Warranty,Procurement,,,,NOT STARTED,,C,YES,10. Power Station,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Inverter Warranty Directory Delivery Notes,Procurement,,,,NOT STARTED,,C,YES,10. Power Station,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General IP addresses of all components of the site,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Usernames and passwords,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Router General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Router General Certificates,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Router Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Router Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Router General Manuals,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Router General Serial Numbers,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Datalogger General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Datalogger General Certificates,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Datalogger Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Datalogger Warranty Directory Delivery Notes,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Datalogger General Manuals,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Datalogger General Serial Numbers,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Pyranometer General Datasheets,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Pyranometer General Certificates,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Pyranometer Warranty Directory Warranty,Commissioning,,,,NOT STARTED,,C,YES,11. Monitoring and IT,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
